States,Agricultural University,Year,State Allocation,State  Expenditure,ICAR Allocation,ICAR Expenditure,Other Sources Allocation,Other Sources Expenditure,Total Allocation,Total Expenditure
Andhra Pradesh ,"Acharya N.G. Ranga Agricultural University, Hyderabad",2010-11,2632,2698.12,421.08,536.68,248.5,118.01,3301.58,3352.81
Andhra Pradesh ,"Acharya N.G. Ranga Agricultural University, Hyderabad",2011-12,2878.5,3352.6,548.11,583.57,302.67,128.05,3729.29,4064.22
Andhra Pradesh ,"Acharya N.G. Ranga Agricultural University, Hyderabad",2012-13,3199.5," The expenditure is under compilation and budget accounts are yet to be finalized, ",362.46," The expenditure is under compilation and budget accounts are yet to be finalized, ",250.14," The expenditure is under compilation and budget accounts are yet to be finalized, ",3812.1," The expenditure is under compilation and budget accounts are yet to be finalized, "
Andhra Pradesh ,"Sri Venkateswara Veterinary University, Tirupati",2010-11,887.5,946.86,102.33,109.55,43.76,57.62,1033.59,1114.03
Andhra Pradesh ,"Sri Venkateswara Veterinary University, Tirupati",2011-12,1510,1115.65,82.32,74.54,112.4,54.1,1704.72,1244.29
Andhra Pradesh ,"Sri Venkateswara Veterinary University, Tirupati",2012-13,1375,1031.21,85.93,39.81,34.62,73.73,1495.55,1114.75
Assam ,"Assam Agricultural University, Jorhat",2009-10,980.65,870,439.96,429.67,126.27,138.82,1456.88,1438.49
Assam ,"Assam Agricultural University, Jorhat",2010-11,1700.13,1547.4,1157.78,1108.51,357.35,191.96,3215.86,2847.87
Assam ,"Assam Agricultural University, Jorhat",2011-12,1424.2,1311,580.8,543.94,393.1,290,2398.1,2144.94
Bihar ,"Birsa Agricultural University Kanke, Ranchi",2009-10#,449.37,449.37,205.01,205.16,13.37,13.33,667.75,667.86
Bihar ,"Birsa Agricultural University Kanke, Ranchi",2010-11#,509.47,469.47,422.16,299.16,20.39,20.36,952.02,788.99
Bihar ,"Birsa Agricultural University Kanke, Ranchi",2011-12#,803.82,670.82,313.36,436.36,28.3,28.09,1145.48,1135.27
Bihar ,"Rajendra Agricultural University, Pusa, Samastipur",1998-99,251.85,252.58,60.79,59.83,38.23,37.43,350.87,349.85
Bihar ,"Rajendra Agricultural University, Pusa, Samastipur",1999-00,263.4,262.92,56.99,56.72,27.63,25.37,348.01,345.01
Bihar ,"Rajendra Agricultural University, Pusa, Samastipur",2000-01,265.7,265.8,91.09,90.97,10.97,10.67,367.77,367.34
Bihar ,"Bihar Agricultural University Sabour, Bhagalpur",2010-11,1101.59,1073.38,88.98,33.7,7.2,0.4,1197.98,1107.49
Bihar ,"Bihar Agricultural University Sabour, Bhagalpur",2011-12,775.4,665.99,276.41,209.72,9.23,4.75,1061.04,880.46
Bihar ,"Bihar Agricultural University Sabour, Bhagalpur",2012-13,2331.9,2200.27,222.66,140.67,18.67,2.08,2573.23,2343.02
Chhattisgarh ,"Indira Gandhi Krishi Vishwa Vidyalaya, Raipur",2009-10,364.5,284.91,259.18,89.87,49.44,18.27,673.12,393.05
Chhattisgarh ,"Indira Gandhi Krishi Vishwa Vidyalaya, Raipur",2010-11,514.3,416.65,270,278.7,47.4,47.4,831.6,742.75
Chhattisgarh ,"Indira Gandhi Krishi Vishwa Vidyalaya, Raipur",2011-12,742,738,297.34,270.1,35.7,35.7,1075.04,1043.8
Gujarat ,"Sardar Krushinagar Dantiwada Agricultural University, Dantiwada",2010-11,795.27,839.29,367.27,300.3,112.2,161.16,1274.74,1300.75
Gujarat ,"Sardar Krushinagar Dantiwada Agricultural University, Dantiwada",2011-12,1089.93,1005.29,269.39,301.39,236.58,178.19,1595.9,1484.87
